datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
15/7/12 7:00,3,0,0,1,28.7,33.335,79,6.0032,17,30,47
14/8/12 15:00,3,0,1,1,33.62,37.88,46,15.0013,84,199,283
6/2/11 6:00,1,0,0,1,10.66,12.88,60,15.0013,0,1,1
6/5/12 17:00,2,0,0,2,26.42506031,30.56616608,61,9.512287721,198,330,531
9/1/12 2:00,1,0,1,1,9.84,12.12,56,8.9981,2,3,5
2/12/11 2:00,4,0,1,1,9.84,14.395,75,0,0,10,10
12/2/12 4:00,1,0,0,2,4.1,2.275,46,47.9988,0,1,1
15/12/11 8:00,4,0,1,2,13.94,15.91,66,15.0013,8,449,457
5/2/11 10:00,1,0,0,3,8.2,10.605,100,8.9981,3,31,34
1/5/11 11:00,2,0,0,1,18.48179919,22.64699762,83,7.776263559,104,162,212
19/3/11 5:00,1,0,0,1,21.32,25,34,27.9993,0,2,2
13/1/12 10:00,1,0,1,1,9.84,9.85,44,30.0026,2,101,103
8/8/12 23:00,3,0,1,1,28.80642791,34.69792417,71,8.981757021,14,107,124
6/4/11 13:00,2,0,1,1,18.86,22.725,38,32.9975,29,83,112
4/4/11 6:00,2,0,1,1,17.22,21.21,58,19.0012,3,43,46
12/10/11 12:00,4,0,1,3,22.14,25.76,88,22.0028,9,53,62
10/9/12 20:00,3,0,1,1,24.6,31.06,40,12.998,34,356,390
3/8/11 21:00,3,0,1,2,27.88,31.82,89,8.9981,7,81,88
18/12/11 0:00,4,0,0,1,8.2,10.605,75,8.9981,7,64,71
11/1/11 6:00,1,0,1,2,6.56,9.09,55,8.9981,0,27,27
1/9/12 18:00,3,0,0,2,33.62,38.635,52,0,184,258,442
11/2/11 17:00,1,0,1,1,12.3,16.665,24,0,18,193,211
19/3/11 23:00,1,0,0,1,15.58,19.695,40,19.9995,13,37,50
11/3/11 10:00,1,0,1,2,13.12,15.15,57,19.9995,18,60,78
17/6/11 5:00,2,0,1,1,22.14,25.76,100,0,1,12,13
10/12/11 4:00,4,0,0,2,10.66,13.635,65,7.0015,0,3,3
18/5/12 6:00,2,0,1,1,17.45982002,21.1192449,76,9.243106152,22,179,170
10/10/11 18:00,4,1,0,2,26.24,31.06,53,0,108,365,473
4/6/12 11:00,2,0,1,1,25.23215407,31.38147919,40,33.42889545,66,153,237
4/10/12 2:00,4,0,1,1,26.24,28.79,89,0,3,10,13
10/9/11 22:00,3,0,0,1,26.24,29.545,78,0,49,126,175
1/3/11 9:00,1,0,1,1,9.02,9.85,55,27.9993,8,116,124
1/9/11 14:00,3,0,1,3,28.80689366,33.69490311,54,16.53356655,50,137,181
11/9/12 5:00,3,0,1,1,18.86,22.725,72,6.0032,3,41,44
18/5/11 12:00,2,0,1,1,22.96,26.515,94,19.9995,12,42,54
4/9/12 17:00,3,0,1,1,31.85781887,37.5092152,69,22.31119989,120,739,875
4/2/11 1:00,1,0,1,2,6.56,11.365,59,0,0,7,7
16/6/12 23:00,2,0,0,1,24.6,31.06,53,19.9995,49,134,183
9/10/11 19:00,4,0,0,1,22.96,26.515,73,6.0032,116,186,302
19/3/11 14:00,1,0,0,1,20.5,24.24,31,32.9975,168,144,312
12/8/11 12:00,3,0,1,1,33.14474248,35.48079299,31,1.827181517,59,178,221
12/10/12 15:00,4,0,1,1,21.32,25,42,30.0026,138,317,455
13/7/12 13:00,3,0,1,2,32.47075781,34.75518522,36,8.755482268,93,270,344
9/4/12 1:00,2,0,1,1,18.86,22.725,41,8.9981,4,12,16
8/3/12 17:00,1,0,1,1,25.42,31.06,38,43.9989,52,545,597
3/8/12 18:00,3,0,1,2,33.62,40.15,59,16.9979,98,573,671
19/2/12 18:00,1,0,0,2,12.3,13.635,49,22.0028,23,144,167
10/9/11 9:00,3,0,0,1,26.24,29.545,78,19.9995,39,168,207
12/12/11 2:00,4,0,1,1,8.2,12.88,69,0,0,4,4
8/10/11 8:00,4,0,0,1,18.86,22.725,82,0,14,89,103
9/5/11 15:00,2,0,1,1,25.42,31.06,41,15.0013,51,148,199
15/10/11 12:00,4,0,0,1,23.78,27.275,35,36.9974,195,261,456
19/8/12 17:00,3,0,0,2,26.24,29.545,78,7.0015,76,267,343
1/8/11 13:00,3,0,1,1,36.9,40.15,31,19.9995,38,112,150
3/1/11 10:00,1,0,1,1,7.38,8.335,43,16.9979,11,33,44
4/3/11 22:00,1,0,1,1,11.22685213,15.6745551,68,12.62414478,3,64,34
6/1/12 20:00,1,0,1,1,17.22,21.21,41,12.998,14,163,177
12/6/12 19:00,2,0,1,1,27.88,31.82,83,12.998,47,444,491
13/4/11 21:00,2,0,1,1,17.22,21.21,67,11.0014,17,100,117
8/1/12 23:00,1,0,0,1,10.66,12.12,56,16.9979,0,30,30
11/10/12 16:00,4,0,1,1,20.5,24.24,36,8.9981,68,413,481
