datetime,season,holiday,workingday,weather,temp,humidity,windspeed,count,datetime_parsed,hour,day,month,year,weekday,is_weekend,bad_weather_peak,humid_temp,work_hour,weekend_hour,wind_weather,temp_hour,peak_morning,peak_evening
15/7/12 7:00,3,0,0,1,28.7,79,6.0032,47,2012-07-15 07:00:00,7,15,7,2012,6,1,7,2267.2999999999997,0,7,6.0032,200.9,1,0
14/8/12 15:00,3,0,1,1,33.62,46,15.0013,283,2012-08-14 15:00:00,15,14,8,2012,1,0,15,1546.52,15,0,15.0013,504.29999999999995,0,0
6/2/11 6:00,1,0,0,1,10.66,60,15.0013,1,2011-02-06 06:00:00,6,6,2,2011,6,1,6,639.6,0,6,15.0013,63.96,0,0
6/5/12 17:00,2,0,0,2,26.42506031,61,9.512287721,531,2012-05-06 17:00:00,17,6,5,2012,6,1,34,1611.92867891,0,17,19.024575442,449.22602527,0,1
9/1/12 2:00,1,0,1,1,9.84,56,8.9981,5,2012-01-09 02:00:00,2,9,1,2012,0,0,2,551.04,2,0,8.9981,19.68,0,0
2/12/11 2:00,4,0,1,1,9.84,75,0.0,10,2011-12-02 02:00:00,2,2,12,2011,4,0,2,738.0,2,0,0.0,19.68,0,0
12/2/12 4:00,1,0,0,2,4.1,46,47.9988,1,2012-02-12 04:00:00,4,12,2,2012,6,1,8,188.6,0,4,95.9976,16.4,0,0
15/12/11 8:00,4,0,1,2,13.94,66,15.0013,457,2011-12-15 08:00:00,8,15,12,2011,3,0,16,920.04,8,0,30.0026,111.52,1,0
5/2/11 10:00,1,0,0,3,8.2,100,8.9981,34,2011-02-05 10:00:00,10,5,2,2011,5,1,30,819.9999999999999,0,10,26.994300000000003,82.0,0,0
1/5/11 11:00,2,0,0,1,18.48179919,83,7.776263559,212,2011-05-01 11:00:00,11,1,5,2011,6,1,11,1533.98933277,0,11,7.776263559,203.29979109,0,0
19/3/11 5:00,1,0,0,1,21.32,34,27.9993,2,2011-03-19 05:00:00,5,19,3,2011,5,1,5,724.88,0,5,27.9993,106.6,0,0
13/1/12 10:00,1,0,1,1,9.84,44,30.0026,103,2012-01-13 10:00:00,10,13,1,2012,4,0,10,432.96,10,0,30.0026,98.4,0,0
